"Debtor Name","Account Number","Customer ID","Client","Total Invoiced Amount","Paid Amount","Collected","Balance","Contact Code","Last Contacted Date","Assigned To","Status","Latest Update"
"AL MADAEN ELECTROMECHANICAL WORKS (L.L.C)","1201A2247","1201A2247","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","CONVERSATION ONGOING - FRIENDLY","23-11-2023 09:52:48","Aiman LiaqatAiman Liaqat","Cooperating - call back request","called on this number and spoke with Mr. Hatem he asked me t"
"Sks Fish Trading & Marina Animals","SksFish","SksFish","Seafood Souq General Trading LLC","19000.00","7000.00","0","12000.00","UNREACHABLE - RNR","24-11-2023 10:08:02","Jomar MandigmaJomar Mandigma","","ringing no answer// follow up call needed//"
"Al Yasaat Fish Trading LLC","AlYasaat","AlYasaat","Seafood Souq General Trading LLC","26958.38","1423.54","0","25534.84","COLLEAGUE ONLY - COOPERATIVE","24-11-2023 11:49:01","Mohammed ShaheerMohammed Shaheer","","Spoke to Shoukath ,told  that they are having financial issu"
"Mr Fish Restaurant (Both Branches - Al Barsha and Al Nahda)","MrFishRestaurant","MrFishRestaurant","Seafood Souq General Trading LLC","27500.91","0","0","27500.91","UNREACHABLE - BLOCKED US","24-11-2023 09:26:29","Aiman LiaqatAiman Liaqat","Uncontactable","called on this number several times no response"
"Majid Deira","MajidDeira","MajidDeira","Seafood Souq General Trading LLC","34034.13","3633.59","0","30400.54","FAMILY ONLY - UNCOOPERATIVE","24-11-2023 09:30:12","Rubeena SyedaRubeena Syeda","Tracing - partial info","Not found anything new in tracing and we cant see the CBLS b"
"Purple Hat General Trading LLC","PurpleHat","PurpleHat","Seafood Souq General Trading LLC","37472.71","218.40","0","37254.31","UNREACHABLE - RNR","24-11-2023 10:07:12","Jomar MandigmaJomar Mandigma","","ringing no answer// follow up call needed//"
"Hadi","Hadi","Hadi","Seafood Souq General Trading LLC","49546.06","496.23","0","49049.83","","","Mohammed ShaheerMohammed Shaheer","",""
"Wadi Al Serour Foodstuff.Tr","WadiAlSerour","WadiAlSerour","Seafood Souq General Trading LLC","52383.19","0","0","52383.19","CONVERSATION ONGOING - DEFENSIVE","22-11-2023 09:25:08","Aiman LiaqatAiman Liaqat","Cooperating - needs time to arrange funds","called on this number and spoke with Mr. Sabir Sultan he tol"
"Sushi Nation","SushiNation","SushiNation","Seafood Souq General Trading LLC","53906.68","535.42","0","53371.26","FAMILY ONLY - COOPERATIVE","24-11-2023 09:32:35","Rubeena SyedaRubeena Syeda","Cooperating - negotiation in progress","Called on this number 0567088201 he said still instalment pl"
"Sea Farm Seafood Processing LLC","SeaFarmSeafood","SeaFarmSeafood","Seafood Souq General Trading LLC","202788.11","35000.00","0","167788.11","UNREACHABLE - BLOCKED US","24-11-2023 11:41:34","Mohammed ShaheerMohammed Shaheer","","Phonecall cm blocked the number"
"Fresh Fishing Fish Trading LLC","FreshFishing","FreshFishing","Seafood Souq General Trading LLC","248345.31","39868.56","0","208476.75","","22-11-2023 09:25:39","Aiman LiaqatAiman Liaqat","Cooperating - call back request","will call the customer again after 25th of November."
"Ocean Fish Trading","OceanFish","OceanFish","Seafood Souq General Trading LLC","221186.07","0","0","221186.07","FAMILY ONLY - UNCOOPERATIVE","24-11-2023 09:44:03","Rubeena SyedaRubeena Syeda","Legal escalation query","this company closed almost they said the its under legal cas"
"Xiamen Tazmeen Trading","XiamenTazmeen","XiamenTazmeen","Seafood Souq General Trading LLC","","0","0","","UNREACHABLE - RNR","24-11-2023 10:07:34","Jomar MandigmaJomar Mandigma","","ringing no answer"
"Al Naqeeb Electrical & Mechanical Works LLC","Al Naqeeb","Al Naqeeb","A Aras Medical Devices & Equipments Co.(L.L.C)","6090.00","0","0","6090.00","COLLEAGUE ONLY - COOPERATIVE","23-11-2023 14:17:52","Jomar MandigmaJomar Mandigma","","Mr. Abdul asking for enough time. needs to discuss the outst"
"Universal Voltas","Universal Voltas","Universal Voltas","A Aras Medical Devices & Equipments Co.(L.L.C)","174727.57","0","0","174727.57","FAMILY ONLY - COOPERATIVE","24-11-2023 09:47:17","Rubeena SyedaRubeena Syeda","Waiting for information from client","we requested from Client that customer claim for  the discou"
"","","","","Total Invoiced Amount: 1,153,939.12","Total Paid: 88,175.74","Total Collected: 0","Total Balance: 1,065,763.38","","","","",""
